"PID-- Participant ID, 4 lines per participants","Condition-- 1= Unfamiliar country eats familiar food, 2= unfamiliar country eats unfamiliar food, ","Time-- 0= pre-test, 1= post-test",GroupCountryFam,Rating-- 1(Really don't like) to 4(Really like),"FoodFam-- Which type of food children saw them with, 0= unfamiliar, 1= familiar"
269,2,0,0,4,0
269,2,0,1,4,1
270,1,0,1,4,1
270,1,0,0,3,1
270,1,1,1,2,1
270,1,1,0,3,1
271,2,0,0,3,0
271,2,1,0,4,0
271,2,0,1,4,1
271,2,1,1,4,1
272,1,1,1,4,1
272,1,0,0,3,1
272,1,1,0,3,1
272,1,0,1,4,1
273,2,0,1,4,1
273,2,0,0,3,0
273,2,1,1,4,1
273,2,1,0,4,0
274,1,1,1,4,1
274,1,1,0,4,1
274,1,0,0,4,1
274,1,0,1,4,1
275,2,0,0,3,0
275,2,1,0,3,0
275,2,0,1,3,1
275,2,1,1,3,1
276,1,1,0,4,1
276,1,1,1,4,1
276,1,0,0,3,1
276,1,0,1,4,1
277,2,1,1,4,1
277,2,0,0,3,0
277,2,0,1,4,1
277,2,1,0,1,0
278,1,0,0,3,1
278,1,1,0,2,1
278,1,0,1,4,1
278,1,1,1,4,1
279,2,1,0,3,0
279,2,0,0,4,0
279,2,0,1,4,1
279,2,1,1,4,1
280,1,1,1,4,1
280,1,1,0,4,1
280,1,0,1,4,1
280,1,0,0,2,1
281,1,0,1,4,1
281,1,1,1,4,1
281,1,0,0,4,1
281,1,1,0,4,1
283,2,0,0,3,0
283,2,1,1,3,1
283,2,1,0,2,0
283,2,0,1,3,1
284,1,0,0,3,1
284,1,1,1,4,1
284,1,1,0,2,1
284,1,0,1,4,1
285,2,0,1,4,1
285,2,1,1,4,1
285,2,1,0,3,0
285,2,0,0,4,0
286,1,1,1,4,1
286,1,0,0,4,1
286,1,0,1,3,1
286,1,1,0,4,1
287,1,1,1,4,1
287,1,0,1,4,1
287,1,1,0,3,1
287,1,0,0,3,1
288,1,0,0,3,1
288,1,1,0,4,1
288,1,1,1,4,1
288,1,0,1,4,1
289,1,1,1,3,1
289,1,1,0,2,1
289,1,0,1,1,1
289,1,0,0,2,1
291,2,0,0,3,0
291,2,1,1,4,1
291,2,1,0,3,0
291,2,0,1,4,1
294,1,1,0,3,1
294,1,1,1,3,1
294,1,0,0,3,1
294,1,0,1,2,1
295,2,0,1,3,1
295,2,1,1,3,1
295,2,0,0,3,0
295,2,1,0,3,0
296,1,1,1,3,1
296,1,0,0,3,1
296,1,0,1,4,1
296,1,1,0,4,1
297,2,1,1,3,1
297,2,0,0,3,0
297,2,1,0,3,0
297,2,0,1,3,1
298,1,1,0,2,1
298,1,0,1,4,1
298,1,1,1,4,1
298,1,0,0,3,1
299,2,1,1,4,1
299,2,0,0,3,0
299,2,0,1,4,1
299,2,1,0,3,0
301,2,1,1,4,1
301,2,1,0,4,0
301,2,0,1,3,1
301,2,0,0,4,0
303,1,1,0,3,1
303,1,0,1,4,1
303,1,0,0,3,1
303,1,1,1,4,1
304,2,0,0,4,0
304,2,0,1,4,1
305,2,0,1,4,1
305,2,1,0,4,0
305,2,1,1,4,1
305,2,0,0,4,0
306,1,0,1,4,1
306,1,1,1,4,1
306,1,0,0,3,1
306,1,1,0,4,1
307,2,1,0,4,0
307,2,1,1,4,1
307,2,0,0,4,0
307,2,0,1,3,1
308,1,1,1,3,1
308,1,0,1,4,1
308,1,1,0,4,1
308,1,0,0,3,1
309,2,0,0,2,0
309,2,1,0,3,0
309,2,1,1,4,1
309,2,0,1,3,1
310,1,0,1,2,1
310,1,1,0,4,1
310,1,0,0,1,1
310,1,1,1,4,1
312,1,1,0,3,1
312,1,1,1,3,1
312,1,0,1,4,1
312,1,0,0,3,1
313,2,0,1,4,1
313,2,0,0,3,0
313,2,1,1,3,1
313,2,1,0,4,0
314,1,0,0,3,1
314,1,0,1,4,1
314,1,1,1,4,1
314,1,1,0,2,1
315,2,1,0,4,0
315,2,1,1,4,1
315,2,0,0,4,0
315,2,0,1,4,1
316,1,0,1,4,1
316,1,0,0,3,1
316,1,1,0,3,1
316,1,1,1,4,1
317,2,1,0,3,0
317,2,1,1,4,1
317,2,0,0,4,0
317,2,0,1,3,1
318,1,0,0,3,1
318,1,1,1,3,1
318,1,1,0,3,1
318,1,0,1,2,1
319,2,1,1,3,1
319,2,0,0,3,0
319,2,1,0,3,0
319,2,0,1,3,1
320,1,0,1,3,1
320,1,0,0,3,1
320,1,1,0,3,1
320,1,1,1,3,1
321,2,1,0,3,0
321,2,0,0,4,0
321,2,0,1,4,1
321,2,1,1,4,1
323,2,0,1,4,1
323,2,1,1,4,1
323,2,1,0,4,0
323,2,0,0,4,0
324,1,1,1,4,1
324,1,0,1,4,1
324,1,1,0,3,1
324,1,0,0,2,1
325,2,1,1,3,1
325,2,0,0,3,0
325,2,1,0,4,0
325,2,0,1,4,1
326,1,0,1,4,1
326,1,1,1,3,1
326,1,0,0,3,1
326,1,1,0,4,1
327,1,1,1,4,1
327,1,0,0,3,1
327,1,1,0,2,1
327,1,0,1,4,1
328,1,0,1,2,1
328,1,0,0,1,1
328,1,1,0,4,1
328,1,1,1,3,1
329,1,1,1,4,1
